,Indicator Name,Indicator Code,Topic description
595,"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,National accounts: value added
596,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,National accounts: value added
597,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,National accounts: value added
598,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Financial: prices
599,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,National accounts: income
600,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,National accounts: income
601,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,Investment climate
602,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,Trade: exports
603,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,Trade: imports
604,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,"Balance of payments: exports, receipts (debit)"
605,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,"Balance of payments: imports, payments (credit)"
606,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Violence and conflict
607,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Violence and conflict
608,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,Violence and conflict
609,Interest payments (% of expense),GC.XPN.INTP.ZS,Government finance: IMF
610,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Government finance: IMF
611,Interest payments (current LCU),GC.XPN.INTP.CN,Government finance: IMF
612,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Financial: interest rates
613,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,Violence and conflict
614,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Violence and conflict
615,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,Violence and conflict
616,International migrant stock (% of population),SM.POP.TOTL.ZS,Social: migration
617,"International migrant stock, total",SM.POP.TOTL,Social: migration
618,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,Social: tourism
619,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Social: tourism
620,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,Social: tourism
621,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,Social: tourism
622,"International tourism, number of arrivals",ST.INT.ARVL,Social: tourism
623,"International tourism, number of departures",ST.INT.DPRT,Social: tourism
624,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,Social: tourism
625,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Social: tourism
626,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,Social: tourism
627,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,Social: tourism
628,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,Infrastructure: expenditure
629,Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,Infrastructure: expenditure
630,Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,Infrastructure: expenditure
631,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,Infrastructure: expenditure
632,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Social: labor
633,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Social: labor
634,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Social: labor
635,"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Social: labor
636,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Social: labor
637,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Social: labor
638,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Social: labor
639,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Social: labor
640,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Social: labor
641,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Social: labor
642,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Social: labor
643,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Social: labor
644,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Social: labor
645,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Social: labor
646,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Social: labor
647,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,Social: labor
648,"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS,Social: labor
649,"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS,Social: labor
650,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,Social: labor
651,"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS,Social: labor
652,"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS,Social: labor
653,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,Social: labor
654,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS,Social: labor
655,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS,Social: labor
656,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Social: labor
657,"Labor force, total",SL.TLF.TOTL.IN,Social: labor
658,Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,Investment climate
659,Land area (sq. km),AG.LND.TOTL.K2,Agriculture
660,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,Agriculture
661,Land under cereal production (hectares),AG.LND.CREL.HA,Agriculture
662,"Lead time to export, median case (days)",LP.EXP.DURS.MD,Logistics performance
663,"Lead time to import, median case (days)",LP.IMP.DURS.MD,Logistics performance
664,Lending interest rate (%),FR.INR.LEND,Financial: interest rates
665,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,Environment: resources
666,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Social: population
667,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Social: population
668,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Social: population
669,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Social: health
670,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Social: health
671,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,Infrastructure: transportation
672,"Listed domestic companies, total",CM.MKT.LDOM.NO,Capital markets
673,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Social: education
674,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Social: education
675,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Social: education
676,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,Social: education
677,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,Social: education
678,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Social: education
679,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Social: education
680,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,Agriculture
681,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,Logistics performance
682,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,Logistics performance
683,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,Logistics performance
684,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,Logistics performance
685,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,Logistics performance
686,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,Logistics performance
687,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,Logistics performance
688,Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS,Investment climate
689,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Social: health
690,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,Social: education
691,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,Social: education
692,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,Social: education
693,Lower secondary school starting age (years),SE.SEC.AGES,Social: education
694,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,National accounts: value added
695,"Mammal species, threatened",EN.MAM.THRD.NO,Environment: general
696,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Trade: exports
697,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Trade: imports
698,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,National accounts: value added
699,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,National accounts: value added
700,"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD,National accounts: value added
701,"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,National accounts: value added
702,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,National accounts: value added
703,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,National accounts: value added
704,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,Environment: resources
705,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Capital markets
706,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,Capital markets
707,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Social: health
708,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Social: health
709,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Trade: exports
710,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,National accounts: value added
711,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Trade: exports
712,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,Trade: exports
713,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,Trade: exports
714,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,Trade: exports
715,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,Trade: exports
716,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,Trade: exports
717,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,Trade: exports
718,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,Trade: exports
719,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,Trade: exports
720,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,Trade: exports
721,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,Trade: exports
722,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,Trade: exports
723,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,Trade: exports
724,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Trade: imports
725,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,Trade: imports
726,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,Trade: imports
727,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,Trade: imports
728,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,Trade: imports
729,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,Trade: imports
730,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,Trade: imports
731,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,Trade: imports
732,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,Trade: imports
733,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,Trade: imports
734,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,Trade: imports
735,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,Trade: imports
736,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,Trade: imports
737,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Trade: gross
738,Methane emissions (% change from 1990),EN.ATM.METH.ZG,Environment: general
739,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Environment: general
740,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Environment: general
741,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,Index quality assessment
742,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Military statistics
743,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,Military statistics
744,Military expenditure (current LCU),MS.MIL.XPND.CN,Military statistics
745,Military expenditure (current USD),MS.MIL.XPND.CD,Military statistics
746,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,National accounts: income
747,Mobile cellular subscriptions,IT.CEL.SETS,Infrastructure: telecommunications
748,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Infrastructure: telecommunications
749,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,Financial: monetary survey
750,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Social: health
751,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Social: health
752,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Social: health
753,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Social: health
754,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5,Social: health
755,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Social: health
756,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Social: health
757,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Social: health
758,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Social: health
759,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Social: health
760,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Social: health
761,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Social: population
762,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Social: population
763,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Social: population
764,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,Social: population
765,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,Social: population
766,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,Social: health
767,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Social: health
768,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,Social: health
769,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,Social: health
770,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,Social: income
771,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,Social: income
772,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,Social: income
773,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,Social: income
774,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,Social: income
775,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,Social: income
776,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",SI.POV.MDIM.17.XQ,Social: income
777,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,Social: income
778,Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Debt: external
779,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Debt: external
780,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,National accounts: income
781,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,Government finance: IMF
782,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,Government finance: IMF
783,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Trade: terms of trade
784,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Debt: aid flows from DAC
785,"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,Debt: aid flows from DAC
786,"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,Debt: aid flows from DAC
787,"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,Debt: aid flows from DAC
788,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,Debt: aid flows from DAC
789,"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Debt: aid flows from DAC
790,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Debt: aid flows from DAC
791,"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Debt: aid flows from DAC
792,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,Debt: aid flows from DAC
793,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Debt: aid flows from DAC
794,"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,Debt: aid flows from DAC
795,"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,Debt: aid flows from DAC
796,"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,Debt: aid flows from DAC
797,"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Debt: aid flows from DAC
798,"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Debt: aid flows from DAC
799,"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Debt: aid flows from DAC
800,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,Debt: aid flows from DAC
801,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,Debt: aid flows from DAC
802,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,Debt: aid flows from DAC
803,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,Debt: aid flows from DAC
804,"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,Debt: aid flows from DAC
805,"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Debt: aid flows from DAC
806,"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,Debt: aid flows from DAC
807,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,Debt: aid flows from DAC
808,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,Debt: aid flows from DAC
809,"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,Debt: aid flows from DAC
810,"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Debt: aid flows from DAC
811,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,Debt: aid flows from DAC
812,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Debt: aid flows from DAC
813,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Debt: aid flows from DAC
814,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Debt: aid flows from DAC
815,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,Balance of payments: net
816,Net domestic credit (current LCU),FM.AST.DOMS.CN,Financial: monetary survey
817,"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,Balance of payments: net
818,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Balance of payments: net
819,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,Debt: external
820,"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Debt: external
821,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Debt: external
822,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,Debt: external
823,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,Debt: external
824,"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Debt: external
825,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,Debt: external
826,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,Debt: external
827,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Debt: external
828,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,Debt: external
829,Net foreign assets (current LCU),FM.AST.NFRG.CN,Financial: monetary survey
830,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,Government finance: IMF
831,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,Government finance: IMF
832,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,Social: education
833,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,Social: education
834,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,Social: education
835,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Government finance: IMF
836,Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,Government finance: IMF
837,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Government finance: IMF
838,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,Government finance: IMF
839,Net migration,SM.POP.NETM,Social: migration
840,Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,Debt: aid flows from DAC
841,"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Debt: aid flows from DAC
842,"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,Debt: aid flows from DAC
843,"Net ODA provided, total (constant 2015 US$)",DC.ODA.TOTL.KD,Debt: aid flows from DAC
844,"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD,Debt: aid flows from DAC
845,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Debt: external
846,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Debt: external
847,Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,Debt: external
848,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Debt: external
849,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Debt: external
850,Net official aid received (constant 2018 US$),DT.ODA.OATL.KD,Debt: external
851,Net official aid received (current US$),DT.ODA.OATL.CD,Debt: external
852,Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Debt: external
853,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Debt: external
854,Net official development assistance received (constant 2018 US$),DT.ODA.ODAT.KD,Debt: external
855,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Debt: external
856,"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD,Debt: external
857,"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,Debt: external
858,"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,Debt: external
859,"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,Debt: external
860,"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,Debt: external
861,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,Debt: external
862,"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD,Debt: external
863,"Net official flows from UN agencies, UNEP (current US$)",DT.NFL.UNEP.CD,Debt: external
864,"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,Debt: external
865,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Debt: external
866,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Debt: external
867,"Net official flows from UN agencies, UNIDIR (current US$)",DT.NFL.UNID.CD,Debt: external
868,"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD,Debt: external
869,"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Debt: external
870,"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD,Debt: external
871,"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,Debt: external
872,"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD,Debt: external
873,"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,Debt: external
874,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Balance of payments: net
875,Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN,National accounts: income
876,Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,National accounts: income
877,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,National accounts: income
878,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Balance of payments: net
879,Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,National accounts: income
880,Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,National accounts: income
